Date,Open,High,Low,Close,Volume
5/23/2022,24.14,24.32,22.88,24.03,"6,993,924"
5/20/2022,24.95,25.6,22.44,23.92,"9,972,096"
5/19/2022,22.81,25.49,22.54,24.8,"12,720,540"
5/18/2022,24.1,24.96,22.54,22.87,"11,560,128"
5/17/2022,23.48,25.1,22.8,25.1,"10,444,948"
5/16/2022,24.7,24.79,22.7,22.95,"11,582,124"
5/13/2022,24.75,26.69,23.76,24.6,"23,930,864"
5/12/2022,20.76,27.02,19.44,22.39,"40,139,760"
5/11/2022,23.37,23.82,20,20.33,"16,681,372"
5/10/2022,25.75,26.52,22,23.38,"16,603,212"
5/9/2022,27.7,27.7,24.52,24.7,"13,264,936"
5/6/2022,29.32,30.14,27.56,28.68,"7,161,632"
5/5/2022,30.99,31.17,28.78,29.78,"7,015,448"
5/4/2022,29.8,31.94,28.93,31.77,"6,651,292"
5/3/2022,29.62,31.11,28.61,30.11,"7,312,684"
5/2/2022,30.91,31.35,28.18,29.89,"10,171,944"
4/29/2022,31.83,32.72,30.75,31.27,"5,143,420"
4/28/2022,32.57,33.15,30.13,32.33,"7,084,892"
4/27/2022,31.82,33.17,31.15,32.46,"5,223,496"
4/26/2022,33.91,34.2,31.54,31.9,"6,182,896"
4/25/2022,33.85,34.93,33.32,33.99,"6,139,116"
4/22/2022,35.64,36.58,33.89,34.56,"6,278,432"
4/21/2022,37.5,38.28,34.98,35.39,"6,737,468"
4/20/2022,38,38.08,36.66,37.21,"4,648,012"
4/19/2022,35.71,38.25,34.96,38.12,"9,416,676"
4/18/2022,37.5,37.81,34.31,35.37,"9,871,124"
4/14/2022,37.32,39.13,36.81,37.69,"10,002,332"
4/13/2022,36.03,38.03,35.51,37.68,"8,032,900"
4/12/2022,36.63,38.06,35.42,36.22,"7,996,544"
4/11/2022,35.76,37.06,35.15,36.73,"9,811,916"
4/8/2022,37.27,37.68,35.51,36.55,"10,371,516"
4/7/2022,38.53,39.18,35.39,37.5,"15,311,388"
4/6/2022,37.75,39.82,37.43,39.16,"16,267,832"
4/5/2022,42,42.11,38,38.4,"15,825,264"
4/4/2022,41.75,43.31,39.13,42.68,"18,560,308"
4/1/2022,47.23,47.44,38.82,41.25,"52,758,240"
3/31/2022,40.78,43.94,39.63,41.65,"44,968,920"
3/30/2022,43.75,45.83,41.25,41.71,"36,676,744"
3/29/2022,47.06,49.85,40.75,44.98,"72,045,960"
3/28/2022,38,47.71,37.89,47.4,"65,266,080"
3/25/2022,35.01,39.54,34.55,37.99,"53,535,480"
3/24/2022,33.5,35.87,31.69,35.6,"36,400,600"
3/23/2022,32.5,37.73,31.64,35.25,"98,399,360"
3/22/2022,23.85,31.45,23.61,30.79,"60,068,920"
3/21/2022,22.5,24.85,22.44,23.55,"15,812,448"
3/18/2022,19.94,24.36,19.73,22.7,"35,688,376"
3/17/2022,21.28,22.4,20.86,21.93,"13,796,480"
3/16/2022,21.28,22.5,20.5,21.72,"10,615,712"
3/15/2022,20.53,21.89,19.67,20.66,"14,115,192"
3/14/2022,23.36,23.58,19.4,19.53,"18,134,456"
3/11/2022,25.67,25.73,23.17,23.17,"8,822,152"
3/10/2022,25.98,26.01,24.56,25.14,"5,581,868"
3/9/2022,26.75,27.22,25.88,26.3,"5,598,388"
3/8/2022,25.26,27.25,24.27,25.75,"8,536,116"
3/7/2022,28.75,28.75,24.03,24.84,"12,591,460"
3/4/2022,29.5,30.13,27.65,27.92,"5,920,052"
3/3/2022,30.74,30.94,29.31,29.6,"4,382,408"
3/2/2022,29.88,30.67,29.09,30.49,"5,242,600"
3/1/2022,30.55,31.47,29.59,29.76,"4,384,084"
2/28/2022,30.25,31.57,29.22,30.84,"6,457,988"
2/25/2022,30.89,31.24,29.12,29.65,"6,841,020"
2/24/2022,26.38,31.43,26.03,31.15,"9,024,848"
2/23/2022,30.31,30.84,28.57,28.72,"5,393,008"
2/22/2022,29.55,30.83,28.55,29.52,"6,156,452"
2/18/2022,31.05,31.41,29.53,30.38,"6,214,156"
2/17/2022,31.69,32.71,30.56,30.85,"6,256,416"
2/16/2022,31.11,33.21,30.98,32.08,"8,007,724"
2/15/2022,30.24,31.81,29.82,31.54,"7,920,356"
2/14/2022,30.73,31.38,29.04,29.27,"9,102,704"
2/11/2022,30.62,32.47,30.19,31.06,"11,299,108"
2/10/2022,29.49,32.95,29,30.62,"14,826,148"
2/9/2022,28.52,31.18,28.25,31.07,"15,467,580"
2/8/2022,25.44,29.42,25.14,28.9,"19,839,624"
2/7/2022,25.75,26.35,24.69,25.59,"7,037,440"
2/4/2022,24.75,26,23.77,25.59,"7,627,164"
2/3/2022,25.38,26.74,24.43,24.81,"10,710,076"
2/2/2022,27.59,27.96,24.52,25.01,"13,116,540"
2/1/2022,28.25,29.16,27.07,28.15,"13,847,508"
1/31/2022,24.47,27.45,24.47,27.23,"13,997,092"
1/28/2022,23.85,24.5,21.9,24.48,"16,430,268"
1/27/2022,26.04,26.75,23.22,23.38,"14,679,824"
1/26/2022,25.28,29.75,25.08,25.82,"33,330,160"
1/25/2022,24.23,26.24,23.75,24.95,"14,297,020"
1/24/2022,24.76,25.72,21.57,25.04,"25,070,996"
1/21/2022,25.25,27.55,23.18,26.59,"22,120,044"
1/20/2022,26.98,28.8,25.4,25.67,"11,680,296"
1/19/2022,27.5,28.26,26.1,26.64,"9,614,316"
1/18/2022,28.28,28.44,26.1,27.23,"15,037,612"
1/14/2022,30.04,30.58,28.01,29.16,"15,401,912"
1/13/2022,32.13,32.63,30.42,30.62,"8,901,080"
1/12/2022,32.5,32.83,31.61,32.02,"6,298,036"
1/11/2022,32.53,34.2,31.85,32.58,"10,332,220"
1/10/2022,33.75,33.92,30,32.79,"22,047,924"
1/7/2022,39.94,40.08,33.13,35.16,"48,549,240"
1/6/2022,33.21,34.43,30.29,32.76,"24,205,920"
1/5/2022,37.1,37.21,32.29,32.34,"13,585,600"
1/4/2022,38.04,38.25,35.76,37.23,"7,339,576"
1/3/2022,37.31,39.85,37.3,38.21,"5,668,004"
12/31/2021,38.41,39.18,37.03,37.1,"5,575,856"
12/30/2021,37.75,40,37.5,38.83,"6,247,528"
12/29/2021,36.96,38.87,35.54,38.48,"8,149,624"
12/28/2021,36.88,39.35,36.6,36.62,"5,337,888"
12/27/2021,38,38.16,35,37.08,"6,461,796"
